"Novel face memory
score out of 72","Famous face memory
score out of 28","Face perception
score out of 60","Celebrity memory
self-rating","Celebrity forgetting
self-report","Pop media use
self-report"
37,2,25.33,3,2,1
54,20,35.33,3,2,1
60,9,36.67,3,4,2
63,12,42,3,4,2
50,12,30.67,4,4,2
52,8,34.67,3,3,2
63,22,40,3,3,2
62,20,32,4,2,2
49,24,39.33,4,2,2
56,26,40,4,2,2
51,15,38,4,1,2
55,18,30.67,4,4,3
43,7,17.33,3,3,3
66,16,37.33,4,3,3
65,25,35.33,4,3,3
37,16,27.33,3,2,3
46,22,29.33,4,2,3
72,22,38.67,5,2,3
68,26,38,5,2,3
42,5,28,4,1,3
30,10,16,3,3,4
68,23,38,4,3,4
45,1,28.67,3,2,4
63,12,31.33,3,2,4
61,15,32.67,3,2,4
48,5,41.33,3,1,4
49,17,31.33,5,3,5
53,17,40.67,3,2,1
43,3,24,4,1,1
52,16,40.67,2,3,2
48,17,37.33,5,3,2
45,11,30.67,3,2,2
42,20,31.33,3,2,2
69,23,26.67,3,2,2
47,24,39.33,4,2,2
44,19,30,3,5,3
45,5,36.67,3,3,3
36,6,32.67,3,3,3
47,22,35.33,4,3,3
60,12,32,5,3,3
56,27,36.67,4,2,3
51,22,36,4,1,3
70,12,37.33,5,5,4
71,25,37.33,3,3,4
64,12,39.33,4,2,4
49,19,29.33,5,1,4
57,12,40,4,3,1
62,11,38.67,3,2,1
36,14,28.67,3,4,2
57,15,26.67,4,4,2
40,14,29.33,3,3,2
71,15,38.67,3,3,2
48,22,34,3,2,2
54,16,32.67,4,2,2
56,17,35.33,3,1,2
47,14,30,4,1,2
58,15,36,3,4,3
68,24,40.67,3,3,3
56,19,40.67,4,2,3
57,23,31.33,4,3,4
61,26,39.33,4,3,4
42,18,32,5,1,4
38,10,32,3,5,5
48,24,16.67,4,2,5
45,24,26,3,2,3
51,17,38,4,1,3
54,22,30,4,1,3
61,16,32.67,4,3,4
53,22,25.33,3,2,4
54,20,30,4,2,4
52,23,32,4,1,4
47,26,40,4,1,4
62,23,40,5,1,4
60,26,30.67,5,1,4
71,24,42,4,2,4
51,5,36,4,2,5
44,24,21.33,3,3,3
53,26,29.33,5,2,3
45,20,24,5,1,3
57,1,38,4,1,4
59,11,40.67,4,2,5
41,2,36,4,1,2
44,9,35.33,3,3,5
34,12,36,5,2,2
47,9,29.33,2,5,1
63,9,30,3,4,1
39,1,33.33,2,3,1
38,5,24.67,2,3,1
44,15,36,3,3,1
57,15,42.67,3,3,1
47,18,26,4,3,1
37,8,19.33,2,2,1
61,10,18,2,2,1
44,10,29.33,2,2,1
47,20,34,4,2,1
51,4,34,5,2,1
43,1,24.67,1,1,1
51,19,37.33,3,1,1
64,26,40.67,3,1,1
57,10,33.33,4,1,1
56,26,36,4,1,1
44,10,30,2,5,2
44,5,30.67,2,4,2
42,10,38,3,4,2
38,12,28.67,3,4,2
63,16,38.67,3,4,2
52,12,30.67,4,4,2
57,8,36.67,3,3,2
44,10,29.33,3,3,2
52,10,32.67,3,3,2
41,19,40.67,3,3,2
52,21,36.67,4,3,2
52,12,43.33,3,2,2
64,14,30.67,3,2,2
60,19,38.67,3,2,2
50,20,32.67,3,2,2
67,22,38,3,2,2
69,23,42.67,3,2,2
49,15,34,4,2,2
56,19,39.33,4,2,2
62,26,39.33,4,2,2
71,14,38,3,1,2
48,24,33.33,3,1,2
41,1,18.67,4,1,2
56,3,22.67,4,1,2
45,3,28.67,4,1,2
61,17,42.67,4,1,2
65,18,39.33,4,1,2
59,14,38.67,5,1,2
42,5,36.67,2,4,3
36,12,32,3,4,3
57,20,40,5,4,3
45,5,25.33,2,3,3
49,8,16,3,3,3
56,18,38,4,3,3
48,26,35.33,5,3,3
47,19,32.67,3,2,3
43,23,16.67,3,2,3
48,23,33.33,3,2,3
49,19,28,4,2,3
51,15,36,5,2,3
66,15,32.67,3,1,3
50,6,39.33,4,1,3
58,21,36.67,4,1,3
60,24,33.33,4,1,3
50,26,35.33,4,5,4
55,17,38,4,3,4
54,20,35.33,5,3,4
53,18,33.33,4,2,4
64,27,33.33,5,2,4
67,25,40,4,1,4
64,21,34.67,5,1,4
68,23,41.33,4,2,5
50,16,34.67,5,1,5
45,8,32,3,5,1
39,8,22,2,4,1
46,3,38,4,4,1
57,17,36.67,2,3,1
49,10,23.33,3,3,1
46,21,29.33,3,3,1
60,21,30.67,3,3,1
60,10,32.67,2,2,1
45,11,28,4,1,1
44,2,25.33,4,5,2
50,10,33.33,1,4,2
39,12,30,3,3,2
44,20,32,3,3,2
48,14,27.33,4,3,2
54,15,28,4,3,2
51,10,35.33,3,2,2
60,13,38,3,2,2
55,14,40.67,3,2,2
54,11,36.67,4,2,2
42,15,35.33,4,2,2
56,22,31.33,5,2,2
43,14,35.33,3,1,2
67,25,32,4,1,2
71,22,43.33,4,5,3
66,24,33.33,5,5,3
46,1,26.67,3,4,3
37,5,16,4,4,3
60,15,36,5,4,3
51,23,33.33,3,3,3
61,25,34,4,3,3
40,7,25.33,3,2,3
52,13,14.67,3,2,3
39,16,28,3,2,3
51,19,24,3,2,3
66,19,28.67,3,2,3
48,9,40,4,2,3
48,15,38.67,4,2,3
66,16,38.67,4,2,3
53,18,36.67,4,2,3
45,19,22,4,2,3
55,19,31.33,4,2,3
50,19,35.33,4,2,3
61,21,26.67,4,2,3
72,22,39.33,4,2,3
69,23,40.67,4,2,3
67,26,33.33,4,2,3
56,23,41.33,5,2,3
54,20,27.33,3,1,3
61,23,38.67,3,1,3
52,23,36.67,4,1,3
41,25,37.33,4,1,3
54,15,39.33,5,1,3
61,22,36.67,5,1,3
45,12,35.33,3,4,4
46,2,32.67,4,4,4
50,15,42.67,3,2,4
53,14,38,4,2,4
62,18,44,4,2,4
68,21,39.33,4,2,4
62,23,38.67,4,2,4
59,24,40.67,4,2,4
49,23,33.33,5,2,4
70,27,42.67,5,2,4
57,20,38.67,3,1,4
36,9,26.67,4,1,4
59,19,30,4,1,4
56,23,36,5,1,4
55,26,30.67,5,2,5
55,21,36.67,4,1,5
66,27,44.67,4,1,5
30,0,30,2,4,1
42,8,28.67,3,3,1
44,7,34.67,3,5,2
35,13,30.67,4,5,2
53,4,34.67,4,4,2
59,19,39.33,3,2,2
61,24,36.67,3,2,2
39,13,28,4,2,2
54,20,38,4,2,2
59,25,40.67,4,2,2
51,19,36,3,1,2
51,7,40,3,3,3
40,23,19.33,3,3,3
50,10,33.33,3,2,3
50,23,31.33,3,2,3
51,27,39.33,3,2,3
42,16,35.33,4,2,3
66,24,41.33,4,2,3
70,26,38.67,4,2,3
